Date,Open,High,Low,Close,Volume,Adj Close,Rate
1991/12/16,27.4001,27.80001,27.4001,27.60006,3369500,0.18387,*VALUE!
1991/12/17,27.64988,27.80001,27.50008,27.5499,3073300,0.18353,-0.002 
1991/12/18,27.60006,27.70003,27.4001,27.64988,4170700,0.1842,0.004 
1991/12/19,27.60006,27.80001,27.50008,27.64988,2975700,0.1842,0.000 
1991/12/20,27.60006,27.80001,27.50008,27.50008,3396500,0.1832,-0.005 
1991/12/23,27.70003,27.89999,27.60006,27.80001,4275100,0.1852,0.011 
1991/12/24,27.89999,29.3,26.99986,29.04989,3534500,0.19353,0.045 
1991/12/25,29.14987,29.99984,29.10005,29.3,7637900,0.19519,0.009 
1991/12/26,29.3,29.3,27.99996,27.99996,6456400,0.18653,-0.044 
1991/12/27,27.99996,28.49985,27.99996,28.45003,7085900,0.18953,0.016 
1991/12/30,29.3,29.39998,28.80012,28.80012,3564800,0.19186,0.012 
1991/12/31,28.80012,29.35016,28.80012,29.35016,2554900,0.19553,0.019 
1992/1/1,29.35016,29.35016,29.35016,29.35016,0.000 ,0.19553,0.000 
1992/1/2,29.14987,29.39998,29.00007,29.14987,6348700,0.19419,-0.007 
1992/1/3,29.20003,29.3,29.00007,29.10005,7446100,0.19386,-0.002 
1992/1/6,29.10005,29.79989,29.04989,29.69991,8866600,0.19786,0.021 
1992/1/7,29.69991,30.20013,29.55011,29.89987,9866400,0.19919,0.007 
1992/1/8,29.79989,30.20013,29.55011,29.65009,6490000,0.19753,-0.008 
1992/1/9,29.69991,29.79989,29.3,29.69991,5167100,0.19786,0.002 
1992/1/10,29.65009,29.79989,29.49996,29.79989,5133500,0.19852,0.003 
1992/1/13,29.79989,29.79989,29.59993,29.65009,4554500,0.19753,-0.005 
1992/1/14,29.65009,29.65009,29.00007,29.20003,5759600,0.19453,-0.015 
1992/1/15,29.20003,29.39998,29.00007,29.10005,7422500,0.19386,-0.003 
1992/1/16,29.00007,29.00007,28.55001,28.90009,4268300,0.19253,-0.007 
1992/1/17,28.90009,28.90009,28.35005,28.80012,3847600,0.19186,-0.003 
1992/1/20,28.80012,29.49996,28.80012,29.45014,3652300,0.19619,0.023 
1992/1/21,29.49996,29.79989,29.20003,29.3,5305100,0.19519,-0.005 
1992/1/22,29.24985,29.3,28.80012,28.94992,5359000,0.19286,-0.012 
1992/1/23,28.94992,29.3,28.94992,29.20003,4971900,0.19453,0.009 
1992/1/24,29.24985,29.69991,29.04989,29.04989,7833200,0.19353,-0.005 
1992/1/27,29.55011,29.59993,29.3,29.39998,8654500,0.19586,0.012 
