Date,Open,High,Low,Close,Volume,Adj Close
2015-11-04,11.50,12.06,11.50,12.05,34608700,12.05
2015-11-03,11.55,11.87,11.31,11.44,24565200,11.44
2015-11-02,11.44,12.20,11.44,11.64,48290600,11.64
2015-10-30,12.90,13.03,12.53,12.71,24514100,12.71
2015-10-29,13.22,13.47,12.50,13.06,26710600,13.06
2015-10-28,13.49,13.76,13.04,13.19,33604300,13.19
2015-10-27,13.30,13.38,12.51,13.32,40916900,13.32
2015-10-26,13.90,13.90,12.99,13.58,57348300,13.58
2015-10-23,13.40,14.20,13.30,13.70,91443300,13.70
2015-10-22,12.60,13.35,12.60,13.35,29598000,13.35
2015-10-21,40.50,40.55,36.41,36.41,19376900,12.13667
2015-10-20,121.80,125.34,119.43,121.38,17876100,40.46
2015-10-19,124.50,126.75,119.34,120.06,22138500,40.02
2015-10-16,122.40,130.02,118.05,127.17,19853000,42.39
2015-10-15,116.94,122.82,115.59,121.56,18278800,40.52
2015-10-14,108.45,120.06,108.33,118.80,21997900,39.60
2015-10-13,106.20,110.70,105.63,109.32,11824000,36.44
2015-10-12,101.40,110.61,100.23,108.54,16127700,36.18
2015-10-09,96.57,102.57,96.06,100.59,13039200,33.53
2015-10-08,95.67,97.74001,95.04,96.60,9752100,32.20
2015-10-07,91.44,91.44,91.44,91.44,000,30.48
2015-10-06,91.44,91.44,91.44,91.44,000,30.48
2015-10-05,91.44,91.44,91.44,91.44,000,30.48
2015-10-02,91.44,91.44,91.44,91.44,000,30.48
2015-10-01,91.44,91.44,91.44,91.44,000,30.48
2015-09-30,92.10,92.70,90.18,91.44,6959600,30.48
2015-09-29,91.80,92.82,89.70,91.32,7312800,30.44
2015-09-28,91.50,94.65,90.03,94.23,7293400,31.41
2015-09-25,98.79,101.37,89.10,91.47,14404600,30.49
2015-09-24,96.00,101.55,96.00,99.00,13729600,33.00
2015-09-23,91.65,98.40,90.00,96.09,15182100,32.03
2015-09-22,95.58,97.05,92.31,94.20,12095800,31.40
2015-09-21,88.08,95.10,86.28,94.65,13719200,31.55
2015-09-18,86.70,91.59,86.70,89.46,9739500,29.82
2015-09-17,89.97,92.88,86.13,86.22,14799700,28.74
2015-09-16,85.05,94.17,81.21,91.53,16154200,30.51
2015-09-15,90.00,90.30,85.68,85.68,11531900,28.56
2015-09-14,104.19,104.19,95.19,95.19,14782500,31.73
2015-09-11,96.60,105.77999,96.15,105.77999,19401900,35.26
2015-09-10,97.47001,99.00,96.06,96.15,8745100,32.05
2015-09-09,97.65,101.58,96.09,100.02,13147000,33.34
2015-09-08,91.20,97.50,88.44,96.63,9190400,32.21
2015-09-07,92.85,97.50,90.00,91.92,10119600,30.64
2015-09-04,90.24,90.24,90.24,90.24,000,30.08
2015-09-03,90.24,90.24,90.24,90.24,000,30.08
2015-09-02,86.19,98.25,85.92,90.24,16751000,30.08
2015-09-01,100.56,100.74001,95.46,95.46,12810200,31.82
2015-08-31,116.04,116.04,106.08,106.08,14501300,35.36
2015-08-28,107.70,117.87,107.40,117.87,18895000,39.29
2015-08-27,108.90,113.25,96.66,107.16,21152500,35.72
2015-08-26,119.34,122.61,107.40,107.40,20015900,35.80
2015-08-25,119.34,122.70,119.34,119.34,10272300,39.78
2015-08-24,138.00,140.13,132.60,132.60,12390200,44.20
2015-08-21,156.00,163.98,146.70,147.33,18745900,49.11
2015-08-20,164.64,179.34,161.94,162.33,26413500,54.11
2015-08-19,149.25,173.55,142.62,170.67,28567800,56.89
2015-08-18,184.17,184.17,154.50,158.10,42981900,52.70
2015-08-17,167.37,167.49001,162.00,167.49001,11778200,55.83
2015-08-14,149.40,158.97001,149.40,152.25,22656600,50.75
2015-08-13,144.45,150.00,143.40,149.37,13807600,49.79
2015-08-12,147.00,152.31,144.99001,145.41,17547900,48.47
2015-08-11,145.50,155.94,144.00,150.42,23563300,50.14
2015-08-10,138.02999,149.37,138.00,146.67,18638900,48.89
2015-08-07,132.00,137.70,131.43,136.08,14479500,45.36
2015-08-06,126.00,135.77999,124.50,129.69,12109600,43.23
2015-08-05,140.00999,142.74001,130.56,131.97001,18999600,43.99
2015-08-04,132.24001,143.91,124.80,143.31,25893500,47.77
2015-08-03,142.20,142.29,133.25999,133.25999,16224200,44.42
2015-07-31,158.40,159.24001,145.50,147.90,29270900,49.30
2015-07-30,168.00,174.90,157.50,161.27999,54269600,53.76
2015-07-29,161.97001,164.40,146.10,163.50,35484000,54.50
2015-07-28,138.77999,161.64,136.68,160.47001,45520000,53.49
2015-07-27,153.00,170.61,146.19,146.58,43742500,48.86
2015-07-24,151.77,164.64,150.02999,155.34,33689400,51.78
2015-07-23,144.00,153.90,141.02999,150.60,32188500,50.20
2015-07-22,149.70,153.90,136.65,145.80,38797100,48.60
2015-07-21,137.97001,154.80,135.42,151.83,30852000,50.61
2015-07-20,142.50,145.50,137.25,140.73,23438000,46.91
2015-07-17,137.97001,149.70,136.47001,144.75,27650800,48.25
2015-07-16,131.91,137.91,118.74001,136.11,23337400,45.37
2015-07-15,141.06,145.08,131.91,131.91,15040800,43.97
2015-07-14,143.10,154.56,142.50,146.58,35862000,48.86
2015-07-13,151.02,151.02,144.00,151.02,31330300,50.34
2015-07-10,137.27999,137.27999,133.50,137.27999,3002900,45.76
2015-07-09,112.50,124.80,112.50,124.80,6561200,41.60
2015-07-08,104.82,125.97001,104.82,113.46,47696800,37.82
2015-07-07,116.58,120.00,116.46,116.46,6316300,38.82
2015-07-06,154.47001,154.47001,129.39,129.39,26668100,43.13
2015-07-03,147.39,149.97001,143.75999,143.75999,16606600,47.92
2015-07-02,170.70,184.32,159.72001,159.72001,29211000,53.24
2015-07-01,171.00,177.45,165.84,177.45,10845900,59.15
2015-06-30,150.00,161.31,142.59,161.31,12032700,53.77
2015-06-29,152.40,156.00,131.79,146.64,20570300,48.88
2015-06-26,154.50,161.85,146.43,146.43,11606800,48.81
2015-06-25,159.00,174.00,156.30,162.69,12015000,54.23
2015-06-24,146.46,161.10,146.40,160.08,12488500,53.36
2015-06-23,149.61,155.40,137.40,146.46,10433800,48.82
2015-06-22,149.61,149.61,149.61,149.61,000,49.87
2015-06-19,147.00,159.00,135.06,149.61,25396200,49.87
2015-06-18,144.93,144.93,144.93,144.93,294800,48.31
2015-06-17,131.75999,131.75999,131.75999,131.75999,116100,43.92
2015-06-16,119.79,119.79,119.79,119.79,57200,39.93
2015-06-15,108.90,108.90,108.90,108.90,44100,36.30
2015-06-12,99.00,99.00,99.00,99.00,000,33.00
2015-06-11,99.00,99.00,99.00,99.00,000,33.00
2015-06-10,99.00,99.00,99.00,99.00,000,33.00
2015-06-09,99.00,99.00,99.00,99.00,000,33.00
2015-06-08,99.00,99.00,99.00,99.00,000,33.00
